"Day", 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,"Mean"
"1",'9.933','9.929','9.940','9.959','9.968','9.989','0.003','0.033','0.037','0.049','0.051','0.055','0.047','0.046','0.039','0.047','0.063','0.081','0.096','0.112','0.130','0.149','0.153','0.169','0.045',
"2",'0.171','0.176','0.175','0.201','0.203','0.204','0.208','0.209','0.210','0.213','0.218','0.212','0.210','0.195','0.182','0.182','0.176','0.177','0.174','0.169','0.172','0.176','0.158','0.158','0.189',
"3",'0.137','0.130','0.102','0.093','0.087','0.088','0.086','0.089','0.085','0.073','0.064','0.057','0.045','0.041','0.025','0.005','9.990','9.974','9.958','9.944','9.934','9.915','9.908','9.889','0.030',
"4",'9.873','9.866','9.845','9.837','9.846','9.851','9.854','9.869','9.884','9.904','9.927','9.928','9.950','9.963','9.970','9.983','9.996','0.016','0.039','0.073','0.095','0.118','0.131','0.139','9.957',
"5",'0.151','0.161','0.166','0.177','0.187','0.207','0.208','0.214','0.212','0.209','0.210','0.217','0.206','0.190','0.189','0.187','0.185','0.181','0.176','0.159','0.150','0.154','0.144','0.133','0.182',
"6",'0.113','0.093','0.077','0.057','0.049','0.051','0.052','0.040','0.031','0.031','0.029','0.022','0.026','0.024','0.018','0.010','0.010','0.004','0.001','9.998','9.994','9.990','9.997','0.000','0.030',
"7",'9.999','0.004','9.998','9.995','9.997','0.006','0.016','0.036','0.042','0.038','0.056','0.065','0.077','0.072','0.078','0.080','0.074','0.082','0.084','0.086','0.096','0.092','0.088','0.091','0.052',
"8",'0.092','0.083','0.077','0.073','0.066','0.057','0.048','0.042','0.034','0.019','0.002','9.992','9.968','9.956','9.930','9.908','9.882','9.879','9.874','9.873','9.876','9.875','9.866','9.864','9.972',
"9",'9.846','9.835','9.815','9.808','9.784','9.766','9.736','9.724','9.704','9.684','9.664','9.645','9.628','9.616','9.586','9.563','9.548','9.540','9.529','9.526','9.522','9.522','9.507','9.510','9.650',
"10",'9.516','9.515','9.506','9.511','9.514','9.536','9.551','9.573','9.584','9.604','9.623','9.655','9.673','9.705','9.736','9.776','9.789','9.826','9.851','9.881','9.908','9.929','9.955','9.973','9.695',
