'     ','    1','    2','    3','    4','    5','    6','    7','    8','    9','   10','   11','   12','   13','   14','   15','   16','   17','   18','   19','   20','   21','   22','   23','   24',' Mean'
'    1','0.157','0.147','0.141','0.139','0.143','0.149','0.157','0.167','0.161','0.163','0.162','0.154','0.148','0.144','0.143','0.154','0.168','0.188','0.204','0.220','0.228','0.238','0.248','0.253','0.174'
'    2','0.265','0.261','0.263','0.273','0.281','0.297','0.315','0.329','0.331','0.337','0.337','0.325','0.323','0.325','0.317','0.325','0.331','0.343','0.355','0.369','0.379','0.385','0.381','0.385','0.326'
'    3','0.396','0.396','0.392','0.398','0.398','0.398','0.398','0.400','0.404','0.396','0.391','0.375','0.359','0.349','0.339','0.325','0.325','0.337','0.341','0.357','0.351','0.359','0.359','0.365','0.371'
'    4','0.359','0.355','0.349','0.349','0.347','0.347','0.351','0.359','0.361','0.349','0.334','0.322','0.298','0.281','0.266','0.264','0.262','0.266','0.271','0.274','0.288','0.296','0.292','0.298','0.314'
'    5','0.290','0.283','0.272','0.268','0.262','0.256','0.258','0.260','0.248','0.242','0.236','0.226','0.214','0.194','0.184','0.182','0.172','0.174','0.174','0.180','0.180','0.172','0.152','0.144','0.218'
'    6','0.141','0.134','0.120','0.110','0.098','0.096','0.096','0.086','0.076','0.068','0.056','0.040','0.030','0.010','9.996','9.990','9.984','9.990','9.998','0.000','9.995','9.990','9.994','9.988','0.045'
'    7','9.988','9.986','9.980','9.974','9.967','9.969','9.976','9.980','9.980','9.975','9.976','9.972','9.966','9.958','9.958','9.962','9.960','9.972','9.978','9.984','9.982','9.988','9.998','9.996','9.976'
'    8','9.985','9.981','9.968','9.959','9.957','9.965','9.969','9.975','9.971','9.971','9.960','9.958','9.950','9.944','9.935','9.934','9.939','9.952','9.958','9.964','9.971','9.980','9.978','9.980','9.963'
'    9','9.978','9.966','9.960','9.950','9.947','9.954','9.958','9.960','9.946','9.946','9.933','9.921','9.901','9.872','9.863','9.867','9.855','9.856','9.851','9.855','9.847','9.849','9.851','9.839','9.905'
'   10','9.806','9.792','9.778','9.764','9.746','9.736','9.730','9.726','9.710','9.702','9.687','9.679','9.661','9.649','9.641','9.645','9.646','9.661','9.675','9.685','9.691','9.695','9.693','9.695','9.704'
'   11','9.700','9.704','9.702','9.710','9.722','9.736','9.746','9.766','9.780','9.786','9.798','9.802','9.802','9.818','9.820','9.830','9.854','9.870','9.898','9.910','9.922','9.922','9.936','9.964','9.812'
'   12','9.975','9.987','9.995','0.001','0.013','0.033','0.031','0.035','0.036','0.037','0.022','0.000','9.970','9.972','9.951','9.919','9.924','9.896','9.874','9.858','9.842','9.840','9.839','9.854','9.954'
'   13','9.900','9.923','9.934','9.943','9.944','9.952','9.964','9.972','9.982','9.976','9.966','9.958','9.933','9.930','9.902','9.903','9.881','9.869','9.862','9.844','9.824','9.810','9.788','9.770','9.905'
'   14','9.747','9.730','9.707','9.690','9.682','9.678','9.674','9.668','9.670','9.660','9.660','9.648','9.646','9.651','9.646','9.636','9.634','9.632','9.613','9.602','9.574','9.544','9.498','9.438','9.639'
'   15','9.375','9.283','9.203','9.085','8.993','8.939','8.885','8.831','8.795','8.755','8.732','8.702','8.660','8.656','8.646','8.634','8.614','8.593','8.560','8.554','8.674','8.752','8.790','8.844','8.815'
'   16','8.886','8.932','8.984','9.032','9.066','9.100','9.126','9.158','9.178','9.220','9.242','9.258','9.280','9.285','9.306','9.330','9.344','9.360','9.382','9.398','9.412','9.432','9.462','9.482','9.236'
'   17','9.505','9.523','9.537','9.559','9.581','9.603','9.621','9.639','9.646','9.655','9.658','9.662','9.650','9.650','9.644','9.636','9.644','9.646','9.646','9.640','9.634','9.644','9.652','9.654','9.622'
'   18','9.663','9.683','9.695','9.711','9.728','9.749','9.775','9.801','9.813','9.831','9.827','9.837','9.835','9.842','9.843','9.851','9.861','9.885','9.891','9.895','9.897','9.905','9.909','9.911','9.818'
'   19','9.906','9.892','9.892','9.880','9.878','9.878','9.872','9.864','9.860','9.852','9.847','9.827','9.797','9.773','9.747','9.715','9.709','9.699','9.675','9.663','9.635','9.609','9.595','9.583','9.777'
'   20','9.559','9.541','9.535','9.557','9.552','9.563','9.577','9.587','9.597','9.612','9.623','9.623','9.633','9.625','9.629','9.629','9.638','9.643','9.647','9.669','9.665','9.665','9.665','9.675','9.613'
'   21','9.673','9.695','9.693','9.707','9.721','9.733','9.745','9.763','9.769','9.783','9.793','9.798','9.796','9.804','9.804','9.812','9.804','9.804','9.810','9.802','9.788','9.762','9.738','9.727','9.763'
'   22','9.728','9.744','9.759','9.792','9.823','9.872','9.915','9.953','9.990','0.022','0.036','0.046','0.046','0.060','0.067','0.084','0.094','0.108','0.116','0.110','0.119','0.122','0.115','0.106','9.993'
'   23','0.110','0.114','0.114','0.112','0.110','0.114','0.119','0.131','0.135','0.150','0.143','0.150','0.150','0.156','0.152','0.160','0.164','0.168','0.161','0.164','0.160','0.164','0.154','0.150','0.142'
'   24','0.138','0.126','0.114','0.102','0.100','0.090','0.094','0.107','0.098','0.102','0.086','0.078','0.072','0.066','0.085','0.131','0.178','0.226','0.247','0.276','0.293','0.318','0.335','0.352','0.159'
'   25','0.362','0.380','0.383','0.387','0.395','0.401','0.399','0.400','0.394','0.384','0.359','0.336','0.289','0.271','0.243','0.226','0.200','0.178','0.153','0.111','0.059','0.021','9.970','9.911','0.259'
'   26','9.847','9.787','9.698','9.631','9.589','9.559','9.493','9.473','9.523','9.631','9.693','9.756','9.795','9.838','9.872','9.913','9.945','9.979','0.007','0.025','0.050','0.061','0.075','0.087','9.805'
'   27','0.097','0.103','0.101','0.101','0.093','0.099','0.099','0.105','0.091','0.087','0.073','0.054','0.027','0.010','9.986','9.978','9.976','9.963','9.950','9.942','9.936','9.935','9.928','9.918','0.027'
'   28','9.916','9.902','9.889','9.880','9.875','9.883','9.891','9.906','9.919','9.934','9.937','9.945','9.943','9.943','9.939','9.938','9.946','9.943','9.936','9.920','9.905','9.915','9.899','9.901','9.917'
'   29','9.887','9.861','9.837','9.819','9.812','9.807','9.807','9.815','9.831','9.844','9.847','9.842','9.836','9.830','9.819','9.824','9.819','9.835','9.834','9.829','9.843','9.835','9.832','9.846','9.833'
'   30','9.847','9.865','9.887','9.895','9.905','9.915','9.912','9.938','9.965','9.993','0.011','0.043','0.051','0.051','0.067','0.085','0.094','0.108','0.131','0.133','0.123','0.129','0.123','0.119','0.016'
'   31','0.087','0.060','0.030','9.995','9.966','9.943','9.914','9.894','9.887','9.879','9.863','9.865','9.861','9.873','9.873','9.861','9.861','9.870','9.871','9.877','9.871','9.865','9.853','9.853','9.907'
' Mean','9.912','9.908','9.900','9.896','9.893','9.897','9.899','9.905','9.908','9.914','9.913','9.910','9.901','9.898','9.893','9.895','9.898','9.904','9.905','9.907','9.908','9.910','9.907','9.906','9.904'
